2026-05-18 20:16:51,893 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:51,895 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:51,906 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,037 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:52,047 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,047 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,071 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,135 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,158 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:52,172 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,186 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,285 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,297 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:52,299 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,315 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,428 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:52,428 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,432 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,441 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,557 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,557 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:52,563 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,574 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,680 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,704 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,708 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:52,725 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,821 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,821 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,831 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,849 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:52,944 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:52,949 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:52,956 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:52,973 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:53,091 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:53,101 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:53,105 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:53,113 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:53,202 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:53,242 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:53,242 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:53,242 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:53,358 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:53,393 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:53,397 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:53,402 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:53,473 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:53,510 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:53,512 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:53,514 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:53,608 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:53,647 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:53,647 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:53,647 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:53,649 | CAMERA_MANAGER | INFO | c2 sent 80 frames
2026-05-18 20:16:53,733 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:53,733 | CAMERA_MANAGER | INFO | c1 sent 80 frames
2026-05-18 20:16:53,773 | CAMERA_MANAGER | INFO | Sending frame from c2
