2026-06-01 19:29:52,277 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,334 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,334 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,357 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,363 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,364 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,364 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,387 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,387 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,397 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,422 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,424 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,429 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,454 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,458 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,461 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,461 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,478 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,478 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,478 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,493 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,519 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,527 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,527 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,527 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,534 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,534 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,565 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,652 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,655 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,657 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,667 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,667 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,667 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,713 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,729 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,755 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,755 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,762 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,762 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,782 | ROI | INFO | Saved To Redis : fire_smoke_frames
